"counts","number of items in equivalence class","isoforms in equivalence class"
43,2,"ENST00000227163,ENST00000378538"
87,3,"ENST00000227163,ENST00000378538,ENST00000533030"
90,3,"ENST00000227163,ENST00000378538,ENST00000533968"
1,1,"ENST00000227214"
1,13,"ENST00000227214,ENST00000354190,ENST00000398492,ENST00000398494,ENST00000535129,ENST00000535582,ENST00000536527,ENST00000538227,ENST00000541597,ENST00000542389,ENST00000543524,ENST00000545798,ENST00000546251"
1,6,"ENST00000227214,ENST00000354190,ENST00000398492,ENST00000398494,ENST00000535129,ENST00000543085"
1,1,"ENST00000227251"
1,16,"ENST00000227251,ENST00000525823,ENST00000526167,ENST00000526180,ENST00000527899,ENST00000527950,ENST00000528961,ENST00000529647,ENST00000531198,ENST00000533280,ENST00000533475,ENST00000533879,ENST00000616970,ENST00000650687,ENST00000651164,ENST00000651650"
1,16,"ENST00000227251,ENST00000525823,ENST00000526167,ENST00000526180,ENST00000527899,ENST00000527950,ENST00000528961,ENST00000531198,ENST00000533280,ENST00000533475,ENST00000533879,ENST00000533971,ENST00000616970,ENST00000650687,ENST00000651164,ENST00000651650"
1,13,"ENST00000227251,ENST00000526180,ENST00000527899,ENST00000527950,ENST00000528628,ENST00000529647,ENST00000531198,ENST00000533475,ENST00000533879,ENST00000533971,ENST00000616970,ENST00000650687,ENST00000651164"
61,1,"ENST00000227266"
94,23,"ENST00000227266,ENST00000393301,ENST00000524463,ENST00000527018,ENST00000528020,ENST00000529974,ENST00000676612,ENST00000677106,ENST00000677208,ENST00000677661,ENST00000677796,ENST00000677802,ENST00000677877,ENST00000677976,ENST00000678395,ENST00000678464,ENST00000678506,ENST00000678520,ENST00000678554,ENST00000678915,ENST00000679032,ENST00000679199,ENST00000679224"
41,22,"ENST00000227266,ENST00000393301,ENST00000524463,ENST00000527018,ENST00000529974,ENST00000676612,ENST00000677106,ENST00000677208,ENST00000677468,ENST00000677661,ENST00000677796,ENST00000677802,ENST00000677877,ENST00000677976,ENST00000678395,ENST00000678464,ENST00000678506,ENST00000678520,ENST00000678554,ENST00000678915,ENST00000679032,ENST00000679199"
10,21,"ENST00000227266,ENST00000393301,ENST00000524463,ENST00000527018,ENST00000529974,ENST00000676612,ENST00000677106,ENST00000677208,ENST00000677468,ENST00000677661,ENST00000677796,ENST00000677802,ENST00000677877,ENST00000677976,ENST00000678395,ENST00000678464,ENST00000678506,ENST00000678554,ENST00000678915,ENST00000679032,ENST00000679199"
10,19,"ENST00000227266,ENST00000393301,ENST00000524463,ENST00000527018,ENST00000529974,ENST00000676612,ENST00000677208,ENST00000677468,ENST00000677796,ENST00000677802,ENST00000677877,ENST00000677976,ENST00000678395,ENST00000678464,ENST00000678506,ENST00000678554,ENST00000678915,ENST00000679032,ENST00000679199"
32,18,"ENST00000227266,ENST00000393301,ENST00000524463,ENST00000527018,ENST00000529974,ENST00000676612,ENST00000677468,ENST00000677796,ENST00000677802,ENST00000677877,ENST00000677976,ENST00000678395,ENST00000678464,ENST00000678506,ENST00000678554,ENST00000678915,ENST00000679032,ENST00000679199"
2,16,"ENST00000227266,ENST00000393301,ENST00000524463,ENST00000527018,ENST00000529974,ENST00000676612,ENST00000677468,ENST00000677802,ENST00000677877,ENST00000678395,ENST00000678464,ENST00000678506,ENST00000678554,ENST00000678915,ENST00000679032,ENST00000679199"
57,19,"ENST00000227266,ENST00000393301,ENST00000524463,ENST00000527018,ENST00000529974,ENST00000677106,ENST00000677208,ENST00000677468,ENST00000677661,ENST00000677802,ENST00000677877,ENST00000677976,ENST00000678395,ENST00000678464,ENST00000678506,ENST00000678554,ENST00000678915,ENST00000679032,ENST00000679199"
1,18,"ENST00000227266,ENST00000393301,ENST00000524463,ENST00000527018,ENST00000529974,ENST00000677106,ENST00000677208,ENST00000677468,ENST00000677661,ENST00000677802,ENST00000677976,ENST00000678395,ENST00000678464,ENST00000678506,ENST00000678554,ENST00000678915,ENST00000679032,ENST00000679199"
